X,Y,Region,material,Site,Feature Number,Excavation istitute,BP,Error,Type,Combine,시대,Name
127.681392E,38.062789N,강원,Charcoal,화천 원천리,30,Yemaek Cultural Property Research Institute,1705,20,중도,,원삼국-백제 한성기,화천 원천리 30
128.265477E,37.270642N,강원,Charcoal,영월 주천리 술샘,1 ,Gangwon Archaeological Culture Research Institute,1710,50,중도,,원삼국-백제 한성기,영월 주천리 술샘 1 
128.638004E,37.209188N,강원,Charcoal,정선 예미리,6,Gangwon Cultural Property Research Institute,1710,50,중도,,원삼국-백제 한성기,정선 예미리 6
128.421572E,37.436098N,강원,Charcoal,평창 방림리,2,Gangwon Archaeological Culture Research Institute,1710,60,중도,,원삼국-백제 한성기,평창 방림리 2
127.96171E,37.762661N,강원,Charcoal,홍천 성산리,32,Gangwon Cultural Property Research Institute,1710,40,중도,,원삼국-백제 한성기,홍천 성산리 32
127.96171E,37.762661N,강원,Charcoal,홍천 성산리,33,Gangwon Cultural Property Research Institute,1710,40,중도,,원삼국-백제 한성기,홍천 성산리 33
127.96171E,37.762661N,강원,Charcoal,홍천 성산리,35,Gangwon Cultural Property Research Institute,1710,40,중도,,원삼국-백제 한성기,홍천 성산리 35
127.96171E,37.762661N,강원,Charcoal,홍천 성산리,43,Gangwon Cultural Property Research Institute,1710,40,중도,,원삼국-백제 한성기,홍천 성산리 43
127.681392E,38.062789N,강원,Charcoal,화천 원천리,34,Yemaek Cultural Property Research Institute,1710,20,중도,,원삼국-백제 한성기,화천 원천리 34
127.681392E,38.062789N,강원,Charcoal,화천 원천리,53,Yemaek Cultural Property Research Institute,1710,20,중도,,원삼국-백제 한성기,화천 원천리 53
127.018379E,38.109908N,경기,Charcoal,연천 강내리,32 ,Korea Institute of Heritage,1710,40,중도,,원삼국-백제 한성기,연천 강내리 32 
127.018379E,38.109908N,경기,Charcoal,연천 강내리,42 ,Korea Institute of Heritage,1710,40,중도,,원삼국-백제 한성기,연천 강내리 42 
127.085653E,37.275062N,경기,Charcoal,용인 영덕동,15-Three Kingdoms period house,Gijeon Cultural Property Research Institute,1710,50,마한,,원삼국-백제 한성기,용인 영덕동 15-Three Kingdoms period house
