X,Y,Region,material,Site,Feature Number,Excavation istitute,BP,Error,Type,Size(cm2),Name,Area
127.997735,37.812135,강원,Charcoal,홍천 철정리,C-철-4 ,강원도문화재연구소,2090,50,백제(呂·凸자형),466725,강원도문화재연구소 홍천 철정리 C-철-4 ,영서
127.850603,37.691398,강원,Charcoal,홍천 하화계리,1,강원고고문화연구원,1750,29,백제(呂·凸자형),395875,강원고고문화연구원 홍천 하화계리 1,영서
127.860226,37.683158,강원,Charcoal,홍천 하화계리,10,백두문화재연구원,1740,40,불명,X,백두문화재연구원 홍천 하화계리 10,영서
127.860226,37.683158,강원,Charcoal,홍천 하화계리,12,백두문화재연구원,1896,29,백제(呂·凸자형),X,백두문화재연구원 홍천 하화계리 12,영서
127.860226,37.683158,강원,Charcoal,홍천 하화계리,13,백두문화재연구원,1760,40,백제(呂·凸자형),985372,백두문화재연구원 홍천 하화계리 13,영서
127.860226,37.683158,강원,Charcoal,홍천 하화계리,18,백두문화재연구원,1680,40,백제(呂·凸자형),X,백두문화재연구원 홍천 하화계리 18,영서
127.860226,37.683158,강원,Charcoal,홍천 하화계리,1,백두문화재연구원,1690,29,백제(呂·凸자형),251706,백두문화재연구원 홍천 하화계리 1,영서
127.860226,37.683158,강원,Charcoal,홍천 하화계리,3(1),백두문화재연구원,1860,40,백제(呂·凸자형),303261,백두문화재연구원 홍천 하화계리 3(1),영서
127.860226,37.683158,강원,Charcoal,홍천 하화계리,3(2),백두문화재연구원,1720,40,백제(呂·凸자형),303261,백두문화재연구원 홍천 하화계리 3(2),영서
127.860226,37.683158,강원,"Charcoal, Charred grain",홍천 하화계리,6,백두문화재연구원,1719,25,백제(呂·凸자형),X,백두문화재연구원 홍천 하화계리 6,영서
127.860226,37.683158,강원,Charcoal,홍천 하화계리,7,백두문화재연구원,1690,29,불명,X,백두문화재연구원 홍천 하화계리 7,영서
127.860226,37.683158,강원,Charcoal,홍천 하화계리,8,백두문화재연구원,1786,25,백제(呂·凸자형),X,백두문화재연구원 홍천 하화계리 8,영서
127.091459,37.190436,경기,Charcoal,화성 감배산,A-17 ,경기대학교박물관,1690,40,기타(원형),17424,경기대학교박물관 화성 감배산 A-17 ,경기남부
127.091459,37.190436,경기,Charcoal,화성 감배산,A-19 ,경기대학교박물관,1820,60,백제(방형),X,경기대학교박물관 화성 감배산 A-19 ,경기남부
127.091459,37.190436,경기,Charcoal,화성 감배산,A-3 ,경기대학교박물관,1790,60,백제(방형),X,경기대학교박물관 화성 감배산 A-3 ,경기남부
127.091459,37.190436,경기,Charcoal,화성 감배산,A-39 ,경기대학교박물관,1600,60,백제(방형),X,경기대학교박물관 화성 감배산 A-39 ,경기남부
127.091459,37.190436,경기,Charcoal,화성 감배산,C-2 ,경기대학교박물관,1850,60,백제(방형),X,경기대학교박물관 화성 감배산 C-2 ,경기남부
126.976671,37.230165,경기,Charcoal,화성 고금산,원-2,서울대학교박물관,1899,84,백제(방형),145200,서울대학교박물관 화성 고금산 원-2,경기남부
126.976671,37.230165,경기,Charcoal,화성 고금산,원-3(1),서울대학교박물관,1960,60,백제(방형),197600,서울대학교박물관 화성 고금산 원-3(1),경기남부
126.976671,37.230165,경기,Charcoal,화성 고금산,원-3(2),서울대학교박물관,1770,40,백제(방형),197600,서울대학교박물관 화성 고금산 원-3(2),경기남부
127.076938,37.178637,경기,Charcoal,화성 금곡동,1,서경문화재연구원,1710,30,백제(방형),X,서경문화재연구원 화성 금곡동 1,경기남부
127.07699,37.177221,경기,Charcoal,화성 금곡동,삼국시대 주거지,서경문화재연구원,1920,30,불명,X,서경문화재연구원 화성 금곡동 삼국시대 주거지,경기남부
126.828792,37.202471,경기,Unknown,화성 남양동,Ⅱ-13-2 ,한백문화재연구원,1560,22,백제(방형),X,한백문화재연구원 화성 남양동 Ⅱ-13-2 ,경기남부
126.828792,37.202471,경기,Unknown,화성 남양동,Ⅱ-3-3 ,한백문화재연구원,1735,22,백제(방형),846336,한백문화재연구원 화성 남양동 Ⅱ-3-3 ,경기남부
126.828792,37.202471,경기,Unknown,화성 남양동,Ⅱ-3-5 ,한백문화재연구원,1740,30,백제(방형),X,한백문화재연구원 화성 남양동 Ⅱ-3-5 ,경기남부
126.947274,37.182765,경기,Charcoal,화성 마하리,1,서울대학교박물관,1720,29,백제(방형),X,서울대학교박물관 화성 마하리 1,경기남부
126.947274,37.182765,경기,Charcoal,화성 마하리,2,서울대학교박물관,1800,31,백제(呂·凸자형),X,서울대학교박물관 화성 마하리 2,경기남부
126.948611,37.183757,경기,Charcoal,화성 마하리·관항리,3,기호문화재연구원,1750,30,백제(방형),X,기호문화재연구원 화성 마하리·관항리 3,경기남부
126.948611,37.183757,경기,Charcoal,화성 마하리·관항리,9,기호문화재연구원,1760,30,백제(방형),X,기호문화재연구원 화성 마하리·관항리 9,경기남부
126.903069,37.129636,경기,Charcoal,화성 발안리,1,기전문화재연구원,1810,50,백제(呂·凸자형),259750,기전문화재연구원 화성 발안리 1  ,경기남부
126.903069,37.129636,경기,Charcoal,화성 발안리,12,기전문화재연구원,1950,50,백제(呂·凸자형),304900,기전문화재연구원 화성 발안리 12  ,경기남부
